;RMS_(µV);rms_sec_(µV/s);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_1_(µV);rms_2_(µV);rms_3_(µV);rms_4_(µV);emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;;;;;;;;;;;-332;-1732;5279;-414
;;;;;;;;;;;681;291;-0.17;1127
;;;;;;;;;;;178;1291;-3028;2598
;;;;;;;;;;;4282;-0.38;406;1.8
;;;;;;;;;;;6618;-1.89;-2059;2671
;;;;;;;;;;;5168;1741;1117;-758
;;;;;;;;;;;3622;-2178;1899;-6375
;;;;;;;;;;;6305;-5541;2061;-346
;;;;;;;;;;;6734;-2743;-418;3088
;;;;;;;;;;;4391;-9838;-2943;17
;;;;;;;;;;;3866;-9783;301;236
;;;;;;;;;;;5324;-4949;1368;352
;;;;;;;;;;;4434;-7901;1123;456
;;;;;;;;;;;-3365;-105;2538;629
;;;;;;;;;;;-3823;6059;-911;-2359
;;;;;;;;;;;-3218;7717;-5678;775
;;;;;;;;;;;-5644;7606;383;1103
;;;;;;;;;;;-6389;3072;1353;-2361
;;;;;;;;;;;-7436;6074;-1228;1663
;;;;;;;;;;;-3411;1355;2194;436
;;;;;;;;;;;-238;1488;264;-0.71
;;;;;;;;;;;-3311;2654;63;17
;;;;;;;;;;;-2708;-6179;1636;17
;;;;;;;;;;;163;-2162;-1867;2693
;;;;;;;;;;;-2587;-1543;-271;0.6
;;;;;;;;;;;-2273;2337;2585;-604
;;;;;;;;;;;-2846;0.08;702;908
;;;;;;;;;;;-1576;-8482;1036;-541
;;;;;;;;;;;-193;1.83;-1505;-2187
;;;;;;;;;;;-1052;-726;-506;-3261
;;;;;;;;;;;2507;592;2.49;-2483
;;;;;;;;;;;-868;4.21;867;384
;;;;;;;;;;;-796;-687;0.51;151
;;;;;;;;;;;2.03;6496;-1101;1009
;;;;;;;;;;;2174;4058;-1261;-255
;;;;;;;;;;;1.59;3093;-3311;-1558
;;;;;;;;;;;-1008;2595;154;2622
;;;;;;;;;;;4108;5;3613;1795
;;;;;;;;;;;4941;1302;-1572;-372
;;;;;;;;;;;451;0.06;-1702;1829
;;;;;;;;;;;-1559;3485;-435;3027
;;;;;;;;;;;-114;-8;-683;-1336
;;;;;;;;;;;4117;6;-2636;-2725
;;;;;;;;;;;2.42;2849;-2571;-1351
;;;;;;;;;;;448;17;-1956;0.65
;;;;;;;;;;;-1171;-495;-1304;1963
;;;;;;;;;;;-246;263;-1353;-2364
;;;;;;;;;;;1433;-0.67;-3138;-553
;;;;;;;;;;;-1.02;-5564;2344;548
;;;;;;;;;;;979;-3767;1113;262
;;;;;;;;;;;-1812;-2134;-74;3377
;;;;;;;;;;;-2602;-602;2239;4227
;;;;;;;;;;;553;1359;606;3247
;;;;;;;;;;;-3238;-3587;3346;-1162
;;;;;;;;;;;-1;-4259;-1759;-2745
;;;;;;;;;;;2.11;-3576;-1751;-3726
;;;;;;;;;;;-388;-0.52;2137;-5289
;;;;;;;;;;;1174;2503;-825;-3491
;;;;;;;;;;;-675;199;3154;-1331
;;;;;;;;;;;-2877;-672;2.99;-392
;;;;;;;;;;;-961;-2219;1316;-3282
;;;;;;;;;;;2368;-699;3.57;-3.54
;;;;;;;;;;;1739;4422;2697;4104
;;;;;;;;;;;-1474;2501;1037;5671
;;;;;;;;;;;1.2;-1495;1;2214
;;;;;;;;;;;1036;-268;-1389;5831
;;;;;;;;;;;-2607;1548;-3917;6315
;;;;;;;;;;;663;212;-519;101
;;;;;;;;;;;2655;-1789;178;-2.12
;;;;;;;;;;;415;784;588;806
;;;;;;;;;;;-1383;911;988;1.53
;;;;;;;;;;;168;-1752;-1207;-1334
;;;;;;;;;;;795;557;-1.41;-1138
;;;;;;;;;;;-208;1.71;-2933;-262
;;;;;;;;;;;64;-2732;-769;-792
;;;;;;;;;;;-795;-1213;1461;818
;;;;;;;;;;;-473;3402;-87;-3471
;;;;;;;;;;;-1574;-1276;2665;-4374
;;;;;;;;;;;-895;452;685;143
;;;;;;;;;;;652;1621;-2447;-516
;;;;;;;;;;;1727;-2456;1567;826
;;;;;;;;;;;-118;-1619;-1577;-2965
;;;;;;;;;;;-1983;-5421;-3613;-1513
;;;;;;;;;;;2373;-4759;-0.85;0.7
;;;;;;;;;;;232;-2313;-2591;-3.93
;;;;;;;;;;;-1123;1424;-224;1359
;;;;;;;;;;;-777;6926;1517;2736
;;;;;;;;;;;-1508;4563;327;2086
;;;;;;;;;;;1311;3904;-536;79
;;;;;;;;;;;1042;1531;-2263;-309
;;;;;;;;;;;505;954;479;3635
;;;;;;;;;;;255;4649;4334;173
;;;;;;;;;;;-45;4207;1458;1221
;;;;;;;;;;;-798;1.64;-1375;3457
;;;;;;;;;;;-391;-1765;2349;2086
;;;;;;;;;;;1074;-1313;-847;363
;;;;;;;;;;;-681;1.49;-3066;-0.03
;;;;;;;;;;;-3182;5005;-173;279
;;;;;;;;;;;-1091;4762;-2506;-2218
;;;;;;;;;;;-1079;-984;654;-2772
;;;;;;;;;;;-1754;-1159;1007;-1546
;;;;;;;;;;;1318;2.24;1549;-2518
;;;;;;;;;;;391;-895;1.45;-4224
;;;;;;;;;;;886;-6841;-3766;-2.02
;;;;;;;;;;;-683;-6809;2.03;-962
;;;;;;;;;;;526;-6619;3087;-1372
;;;;;;;;;;;1394;-6675;-281;-845
;;;;;;;;;;;24;-6247;582;2359
;;;;;;;;;;;3739;-6721;0.63;2447
;;;;;;;;;;;-744;-2602;1105;-186
;;;;;;;;;;;243;2283;-1467;2.86
;;;;;;;;;;;1341;1195;-1422;0.2
;;;;;;;;;;;-3061;-4185;-466;379
;;;;;;;;;;;311;-1145;-814;3611
;;;;;;;;;;;2845;1747;552;1038
;;;;;;;;;;;2528;-582;2919;-2104
;;;;;;;;;;;2.39;4893;1605;-4532
;;;;;;;;;;;1958;8877;-2544;-1434
;;;;;;;;;;;-1398;5375;-0.39;-1012
;;;;;;;;;;;-1427;5631;1283;-511
;;;;;;;;;;;-2278;6267;681;2.41
;;;;;;;;;;;-1624;2079;-937;581
;;;;;;;;;;;3001;4334;-1404;-302
;;;;;;;;;;;-1908;1514;78;1709
;;;;;;;;;;;-3853;-675;-525;3296
;;;;;;;;;;;653;4.2;1245;2752
;;;;;;;;;;;-1.21;219;-2804;987
;;;;;;;;;;;-0.14;-1972;-3672;564
;;;;;;;;;;;1.67;-2346;1.08;2022
;;;;;;;;;;;-4217;-1579;607;1311
;;;;;;;;;;;-1498;-2174;1973;189
;;;;;;;;;;;893;-7049;1713;-1093
;;;;;;;;;;;1403;-8339;2954;-1542
;;;;;;;;;;;6134;-3187;2754;-396
;;;;;;;;;;;983;-2205;861;-203
;;;;;;;;;;;-703;-8608;744;394
;;;;;;;;;;;277;-2139;-1336;-2013
;;;;;;;;;;;-1188;4336;-1168;-1785
;;;;;;;;;;;-627;7227;-605;2252
;;;;;;;;;;;-1613;7997;74;2264
;;;;;;;;;;;-1577;1201;0.04;-2771
;;;;;;;;;;;949;2432;1268;-2.89
;;;;;;;;;;;628;1291;-2328;1398
;;;;;;;;;;;-2815;-72;-3914;-1873
;;;;;;;;;;;-0.14;1405;-1401;-0.66
;;;;;;;;;;;-567;-2698;-3.28;-0.8
;;;;;;;;;;;-883;-4495;-0.21;-2854
;;;;;;;;;;;1657;0.59;-2953;377
;;;;;;;;;;;1345;2139;-1954;-2.14
;;;;;;;;;;;3982;-2554;3416;1644
;;;;;;;;;;;299;-265;2363;1.54
;;;;;;;;;;;-2.77;-2814;687;-3.26
;;;;;;;;;;;-943;-2.62;-2867;-0.92
;;;;;;;;;;;-175;3.07;1.34;-2156
;;;;;;;;;;;3856;1.03;3818;-171
;;;;;;;;;;;2434;2962;2291;1801
;;;;;;;;;;;-3644;1321;973;738
;;;;;;;;;;;-1206;-3072;313;2488
;;;;;;;;;;;1277;-1746;1107;1735
;;;;;;;;;;;-1944;3363;-1715;21
;;;;;;;;;;;222;4255;-1.75;2687
;;;;;;;;;;;199;575;2234;0.7
;;;;;;;;;;;-3729;1013;4787;-2689
;;;;;;;;;;;-902;739;-141;1559
;;;;;;;;;;;1691;-2139;-883;4008
;;;;;;;;;;;976;-2352;519;2616
;;;;;;;;;;;1.03;4031;-442;-1795
;;;;;;;;;;;-245;578;1296;-2.37
;;;;;;;;;;;-2703;-5173;-162;-1499
;;;;;;;;;;;-1413;-2688;-806;-1245
;;;;;;;;;;;2743;-2129;-3119;1979
;;;;;;;;;;;604;3283;-2768;-297
;;;;;;;;;;;-1.13;0.86;-3016;-0.49
;;;;;;;;;;;2746;-25;-1685;423
;;;;;;;;;;;1078;3.89;354;-2748
;;;;;;;;;;;-1176;-402;-3891;-2116
;;;;;;;;;;;201;-2173;991;1.28
;;;;;;;;;;;1061;-4.05;-232;1425
;;;;;;;;;;;-592;-1944;-4163;2251
;;;;;;;;;;;142;-1657;122;1919
;;;;;;;;;;;1.84;-1707;-2.9;-2994
;;;;;;;;;;;-895;811;-2678;-577
;;;;;;;;;;;1335;-1651;1549;905
;;;;;;;;;;;1079;-2614;3835;87
;;;;;;;;;;;874;-1907;5.97;4.75
;;;;;;;;;;;3106;461;1319;3872
;;;;;;;;;;;-2757;608;4119;-651
;;;;;;;;;;;-3926;3811;8286;-1558
;;;;;;;;;;;-428;2.96;-935;0.1
;;;;;;;;;;;-1502;-1.97;77;-802
;;;;;;;;;;;-4468;2274;118;-2253
;;;;;;;;;;;-1962;4477;-1894;-3057
;;;;;;;;;;;3645;4.86;4329;-4662
;;;;;;;;;;;3836;1507;2238;-5222
;;;;;;;;;;;2467;-1544;2554;-4047
;;;;;;;;;;;388;1435;0.11;-1166
;;;;;;;;;;;-1744;1482;-2158;-3425
;;;;;;;;;;;-98;1253;1003;-194
