name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;-178.65;162.82;1.433;-0.67;-3.138;-0.553
;-178.65;162.82;-1.02;-5.564;2.344;0.548
;-178.65;162.81;0.979;-3.767;1.113;0.262
;-178.65;162.81;-1.812;-2.134;-0.074;3.377
;-178.65;162.8;-2.602;-0.602;2.239;4.227
;-178.65;162.8;0.553;1.359;0.606;3.247
;-178.66;162.79;-3.238;-3.587;3.346;-1.162
;-178.66;162.79;-0.001;-4.259;-1.759;-2.745
;-178.66;162.78;2.11;-3.576;-1.751;-3.726
;-178.66;162.78;-0.388;-0.52;2.137;-5.289
;-178.66;162.77;1.174;2.503;-0.825;-3.491
;-178.66;162.77;-0.675;0.199;3.154;-1.331
;-178.66;162.76;-2.877;-0.672;2.99;-0.392
;-178.66;162.76;-0.961;-2.219;1.316;-3.282
;-178.66;162.75;2.368;-0.699;3.57;-3.54
;-178.66;162.75;1.739;4.422;2.697;4.104
;-178.65;162.74;-1.474;2.501;1.037;5.671
;-178.65;162.74;1.2;-1.495;1;2.214
;-178.65;162.74;1.036;-0.268;-1.389;5.831
;-178.65;162.73;-2.607;1.548;-3.917;6.315
;-178.65;162.73;0.663;0.212;-0.519;0.101
;-178.65;162.72;2.655;-1.789;0.178;-2.12
;-178.65;162.72;0.415;0.784;0.588;0.806
;-178.65;162.71;-1.383;0.911;0.988;1.53
;-178.65;162.71;0.168;-1.752;-1.207;-1.334
;-178.65;162.71;0.795;0.557;-1.41;-1.138
;-178.65;162.7;-0.208;1.71;-2.933;-0.262
;-178.65;162.7;0.064;-2.732;-0.769;-0.792
;-178.65;162.69;-0.795;-1.213;1.461;0.818
;-178.65;162.69;-0.473;3.402;-0.087;-3.471
;-178.65;162.69;-1.574;-1.276;2.665;-4.374
;-178.65;162.68;-0.895;0.452;0.685;0.143
;-178.65;162.68;0.652;1.621;-2.447;-0.516
;-178.65;162.68;1.727;-2.456;1.567;0.826
;-178.65;162.67;-0.118;-1.619;-1.577;-2.965
;-178.65;162.67;-1.983;-5.421;-3.613;-1.513
;-178.65;162.67;2.373;-4.759;-0.85;0.7
;-178.65;162.66;0.232;-2.313;-2.591;-3.93
;-178.65;162.66;-1.123;1.424;-0.224;1.359
;-178.65;162.66;-0.777;6.926;1.517;2.736
;-178.65;162.65;-1.508;4.563;0.327;2.086
;-178.64;162.65;1.311;3.904;-0.536;0.079
;-178.64;162.64;1.042;1.531;-2.263;-0.309
;-178.64;162.64;0.505;0.954;0.479;3.635
;-178.64;162.64;0.255;4.649;4.334;0.173
;-178.64;162.63;-0.045;4.207;1.458;1.221
;-178.64;162.63;-0.798;1.64;-1.375;3.457
;-178.64;162.63;-0.391;-1.765;2.349;2.086
;-178.64;162.62;1.074;-1.313;-0.847;0.363
;-178.64;162.62;-0.681;1.49;-3.066;-0.03
;-178.64;162.61;-3.182;5.005;-0.173;0.279
;-178.64;162.61;-1.091;4.762;-2.506;-2.218
;-178.64;162.61;-1.079;-0.984;0.654;-2.772
;-178.64;162.6;-1.754;-1.159;1.007;-1.546
;-178.64;162.6;1.318;2.24;1.549;-2.518
;-178.64;162.59;0.391;-0.895;1.45;-4.224
;-178.64;162.59;0.886;-6.841;-3.766;-2.02
;-178.63;162.59;-0.683;-6.809;2.03;-0.962
;-178.63;162.58;0.526;-6.619;3.087;-1.372
;-178.63;162.58;1.394;-6.675;-0.281;-0.845
;-178.63;162.57;0.024;-6.247;0.582;2.359
;-178.63;162.57;3.739;-6.721;0.63;2.447
;-178.63;162.57;-0.744;-2.602;1.105;-0.186
;-178.63;162.56;0.243;2.283;-1.467;2.86
;-178.63;162.56;1.341;1.195;-1.422;0.2
;-178.62;162.55;-3.061;-4.185;-0.466;0.379
;-178.62;162.55;0.311;-1.145;-0.814;3.611
;-178.62;162.55;2.845;1.747;0.552;1.038
;-178.62;162.54;2.528;-0.582;2.919;-2.104
;-178.62;162.54;2.39;4.893;1.605;-4.532
;-178.62;162.54;1.958;8.877;-2.544;-1.434
;-178.61;162.53;-1.398;5.375;-0.39;-1.012
;-178.61;162.53;-1.427;5.631;1.283;-0.511
;-178.61;162.53;-2.278;6.267;0.681;2.41
;-178.61;162.53;-1.624;2.079;-0.937;0.581
;-178.61;162.52;3.001;4.334;-1.404;-0.302
